size,surface,zvi,ph,oxygen,temp,nitrate,k
90,49.46,2.88,6.7,A,30,100,0.0333
85000,0.06,2,2,AN,20,25,0.0172
30,62.2,0.05,6,AN,25,20,0.0244
16.7,79.06,1.25,7,AN,30,100,0.068
75,4.2,0.5,7,AA,25,62,0.004416667
80,54.25,2,6,AA,20,80,0.042
65,27.95,1,7,A,25,100,0.0073
50,39.36,1,5,A,20,70,0.008
50,39.36,5,3,A,20,70,0.135
55,12.85,0.2,7,AN,20,25,0.01
11.65,17.96,4,8,AA,20,20,0.0084
50,39.36,2,7,A,20,95,0.01
16.7,79.06,1.25,7,AN,50,100,0.315
11.65,17.96,4,4,AA,20,20,0.0462
41.3,14.3,0.5,7,AA,25,62,0.001666667
30,62.2,0.03,8,AN,25,20,0.0069
39,61.1,1,1.5,AN,25,100,0.0522
50,12.4,1,8,AN,25,50,0.0851
420000,0.01,18,2,AN,15,500,0.005866667
419000,2.3,1,9,AN,20,50,0.012833333
44000,0.192,4,5,A,25,50,0.053
105,44.1,0.7,8,AN,20,10,0.03
80,54.25,4,7,A,20,50,0.3092
16.7,17.6,0.5,11,AN,20,50,0.0061
20000,0.39,0.5,7,A,20,30,0.000445
38,31.63,1,7,AN,25,50,0.000745
50,39.36,1,7,A,20,50,0.01
50,39.36,2,7,A,20,50,0.021
44000,0.56,0.35,6.5,AA,25,40,0.0004
4.5,17.5,0.35,7,AA,25,40,0.0025
105,44.1,0.5,8,AN,20,10,0.024
13.7,55.6,0.7,7,AN,21,310,0.1
16.7,17.6,0.5,7,AN,20,50,0.0421
38,38.1,0.05,7,AN,20,50,0.0077
74000,0.49,10,6.7,AN,25,50,0.0043
1500,1.27,0.416,1.62,AN,20,25,0.0088
39,61.1,1,9,AN,25,100,0.0665
13.7,55.6,0.7,6.1,AN,21,198,0.011
249000,1.1,12,2.5,A,24,30,0.0037
50,39.36,1,3,A,20,50,0.013
841000,1.67,1,7.4,A,50,31,0.003783333
80,54.25,2,7,A,20,80,0.0703
44000,0.56,0.35,6.5,AA,10,40,0.0002
75,30,3.2,6,A,25,80,0.0086
135000,0.83,1,6,AN,20,10,0.003
80,54.25,4,7,A,20,30,0.3015
50,39.36,2,5,A,20,50,0.054
16.7,79.06,1.25,10.1,AN,30,100,0.010833333
20000,0.39,0.25,7,A,20,30,0.000383333
13.7,55.6,0.7,6.1,AN,21,310,0.41
105,44.1,1,6,AN,20,10,0.03
50,12.4,1,3,AN,25,50,0.1845
50,39.36,3,3,A,20,70,0.034
3500,1.4,100,7,AA,25,33,0.0018
16.7,17.6,2,7,AN,20,50,0.123
50,39.36,5,7,A,20,50,0.06
150000,2.384,5,4,AA,20,73,0.001003333
500000,0.04,0.5,7,AN,20,30,0.000466667
419000,2.3,1,6,AN,20,50,0.009666667
135000,0.83,1,2,AN,20,10,0.011
30,62.2,0.05,9,AN,25,20,0.0236
80,54.25,4,7,AA,20,80,0.1681
16.7,17.6,0.2,7,AN,20,50,0.0206
420000,0.01,6,3.5,AN,15,500,0.00275
85000,0.06,8,2,AN,20,100,0.0032
420000,0.01,12,2,AN,15,500,0.004366667
50,39.36,3,7,A,20,95,0.01
30,62.2,0.05,8,AN,25,10,0.0245
50,39.36,1,7,A,20,95,0.005
90,49.46,0.36,6.7,A,30,100,0.0043
44000,1.37,50,7,A,20,20,0.000333333
420000,0.01,6,2.5,AN,15,500,0.003266667
90,49.46,2.88,6.7,A,30,200,0.0339
420000,0.01,6,1.5,AN,15,500,0.004016667
75000,0.13,10,5.8,AA,15,120,0.00075
74000,0.06,2,2,AA,21,50,0.0011
30,62.2,0.06,8,AN,25,20,0.027
50,39.36,1,5,A,20,95,0.004
50,39.36,5,5,A,20,50,0.209
135000,0.83,1,3,AN,20,10,0.01
11.65,17.96,0.8,7,AA,20,20,0.0018
150000,2.384,5,7,AA,20,73,0.0002
65,27.95,1,7,A,25,400,0.0097
50,12.4,1,6.7,AN,25,50,0.086
16.7,17.6,0.5,9,AN,20,50,0.0386
50,39.36,5,5,A,20,70,0.084
85000,0.06,4,2,AN,20,100,0.0031
90,49.46,2.88,6.7,A,30,50,0.0328
80,54.25,4,6,AA,20,30,0.188
1500,1.27,0.104,1.62,AN,20,25,0.0015
40,133.987,1,5,A,24,100,0.026
65,37.83,2,2,A,20,100,0.5436
9.5,56.67,0.35,7,AA,25,40,0.0137
20,25.4,0.5,7,AN,20,20,0.0062
50,39.36,3,3,A,20,50,0.185
500000,0.04,1,2.3,AN,24,30,0.008283333
74000,0.06,4,2,AA,21,150,0.0264
75000,0.0152,5,7,AN,24,60,0.0007
50,39.36,1,7,A,20,70,0.007
105,44.1,1,10,AN,20,10,0.0189
135000,0.83,1,10,AN,20,10,0.001
65,37.83,2,4,A,20,100,0.0972
74000,0.063,4,6,AA,20,80,0.0004
50,12.4,2,6.7,AN,25,50,0.0872
132,39.36,1,6.8,A,20,100,0.0229
16.7,17.6,1,7,AN,20,50,0.0321
50,39.36,1,3,A,20,70,0.008
105,44.1,0.9,8,AN,20,10,0.041
50,39.36,3,5,A,20,70,0.073
80,54.25,4,6,AA,20,80,0.0311
20,14.5,3.2,6,A,25,80,0.0074
16.7,17.6,0.5,5,AN,20,50,0.0471
1500,1.27,0.416,1.62,AN,20,100,0.024
16.7,79.06,1.25,3,AN,30,100,0.133
50,39.36,1,3,A,20,95,0.006
65,37.83,2,5,A,20,100,0.0613
135000,0.83,0.7,8,AN,20,10,0.0021
75,3.3,1.67,6.7,AA,25,80,0.0651
50,39.36,2,3,A,20,95,0.019
11.65,17.96,4,7,AA,20,20,0.0216
135000,0.83,0.1,8,AN,20,10,0.0005
11.65,17.96,4,5,AA,20,20,0.0258
30,62.2,0.07,8,AN,25,20,0.0258
500000,0.04,1,7,AN,24,30,0.000433333
105,44.1,0.1,8,AN,20,10,0.02
50,39.36,5,3,A,20,95,0.075
70,65.74,2.88,6.7,A,30,10,0.013
44000,0.442,0.5,7,AA,25,40,0.041
50,12.4,1,5,AN,25,50,0.114
13.7,55.6,0.7,2.5,AN,21,198,0.13
74000,0.49,10,2.5,AN,25,50,0.016
50,39.36,5,7,A,20,70,0.034
20,25.4,0.5,4,AN,20,20,0.0024
1500,1.27,0.416,1.62,AN,20,12.5,0.0011
74000,0.06,4,2,AA,21,300,0.026
85000,0.06,2,2,AN,20,100,0.0024
80,54.25,4,3,A,20,80,0.322
105,47.68,1,7,A,25,100,0.0118
90,49.46,0.72,6.7,A,30,100,0.006
20,65.74,2.88,6.7,A,30,10,0.011
594000,1.5,1,7,AN,20,50,0.14
44000,0.516,0.5,7,AA,45,40,0.0202
420000,0.01,6,2,AN,15,500,0.003316667
100,8.1,1,7,A,20,50,0.168666667
74000,0.06,4,2,AA,21,400,0.0271
11.65,17.96,2,7,AA,20,20,0.01
6.5,121.8,1,5,A,24,12.5,0.0616
105,47.68,1,7,A,25,400,0.0148
90,49.46,2.88,6.7,A,30,10,0.04
50,39.36,1,5,A,20,50,0.015
50,39.36,3,5,A,20,50,0.109
39,61.1,1,7,A,25,100,0.0102
80,54.25,4,6,AA,20,50,0.206
1500,1.27,0.832,1.62,AN,20,25,0.0084
80,54.25,4,6,A,20,80,0.0314
50,12.4,1,6.7,AN,25,30,0.048
80,54.25,1,7,A,20,80,0.0352
74000,0.06,20,4,AA,21,50,0.0094
30,62.2,0.04,8,AN,25,20,0.0101
50,39.36,2,3,A,20,70,0.025
44000,0.56,0.35,6.5,AA,40,40,0.0011
419000,2.3,1,7.5,AN,20,50,0.0025
135000,0.83,0.5,8,AN,20,10,0.002
74000,0.06,4,2,AA,21,100,0.0271
50,39.36,3,3,A,20,95,0.029
80,54.25,4,7,A,20,80,0.3179
50,12.4,0.2,6.7,AN,25,50,0.0218
74000,0.06,10,2,AA,21,50,0.05
50,39.36,3,7,A,20,50,0.022
80,54.25,4,6,AA,20,120,0.0829
125000,3.37,4,7,AA,20,20,0.0007
44000,0.56,0.35,6.5,AA,60,40,0.0022
841000,1.67,1,7.4,A,75,31,0.006966667
841000,1.67,1,6.7,A,50,31,0.000525
20,25.4,0.5,6,AN,20,20,0.0068
44000,0.391,0.5,7,AA,45,40,0.0779
13.7,55.6,0.7,10.1,AN,21,148,0.037
74000,0.06,4,2,AA,21,200,0.0268
105,44.1,1,8,AN,20,10,0.046
16.7,46.27,1.25,7,AN,25,100,0.1099
11.65,17.96,4,7,A,20,20,0.0097
841000,1.67,1,7.4,A,20,31,0.001083333
419000,2.3,1,5.5,AN,20,50,0.015833333
419000,2.3,1,6.5,AN,20,50,0.003333333
11.65,17.96,4,11,AA,20,20,0.0011
150000,2.384,5,5.45,AA,20,73,0.005033333
100,8.1,0.5,7,A,20,50,0.0875
420000,0.01,6,3,AN,15,500,0.002866667
50,12.4,0.5,6.7,AN,25,50,0.0508
80,8.08,4,6,AA,20,80,0.0076
13.7,55.6,0.7,7,AN,21,198,0.025
13.7,55.6,0.7,10.1,AN,21,198,0.0085
38,31.63,5,7,AN,25,50,0.0077
265.1,33.41,1,5,A,24,12.5,0.017
254000,1.1,2,2,AN,20,25,0.025
419000,2.3,1,7,AN,20,50,0.002166667
25,14.51,0.35,6.5,AA,60,40,0.0851
44000,0.516,0.5,7,AA,10,40,0.0023
44000,0.516,0.5,7,AA,35,40,0.0121
44000,0.192,4,6,A,25,50,0.0408
25,14.51,0.35,6.5,AA,40,40,0.0166
135000,0.83,0.3,8,AN,20,10,0.001
74000,0.06,80,2,AA,21,50,0.153
420000,0.01,24,2,AN,15,500,0.0082
38,31.63,0.05,7,AN,20,50,0.004766667
30,62.2,0.05,7,AN,25,20,0.0248
74000,0.06,4,2.5,AA,21,50,0.052
90,49.46,2.88,6.7,A,30,400,0.0326
1500,1.27,0.416,1.92,AN,20,25,0.0062
20000,0.39,1,7,A,20,30,0.001433333
74000,0.06,0.5,2,AA,21,50,0.0008
419000,2.3,1,8,AN,20,50,0.002166667
13.7,55.6,0.7,6.1,AN,21,148,0.2
11.65,17.96,0.4,7,AA,20,20,0.001
80,54.25,1,6,A,20,80,0.0046
105,44.1,0.3,8,AN,20,10,0.022
50,39.36,3,5,A,20,95,0.019
44000,0.391,0.5,7,AA,35,40,0.0602
841000,1.67,1,6.7,A,75,31,0.001816667
249000,1.1,12,4.5,A,24,30,0.000883333
50,39.36,5,3,A,20,50,0.282
30,62.2,0.05,5,AN,25,20,0.0247
74000,0.06,20,3,AA,21,50,0.0261
420000,0.01,6,4,AN,15,500,0.000366667
90,49.46,1.44,7.7,A,30,100,0.0068
13.7,55.6,0.7,7,AN,21,148,0.3
30,62.2,0.05,8,AN,25,20,0.0223
25,14.51,0.35,6.5,AA,10,40,0.0075
1500,1.27,0.416,1.22,AN,20,25,0.0053
74000,0.06,20,2,AA,21,50,0.085
44000,0.391,0.5,7,AA,25,40,0.0384
55,12.85,0.2,7,A,20,25,0.035
105,44.1,1,3,AN,20,10,0.038
44000,0.192,4,7,A,25,50,0.0143
135000,0.83,0.9,8,AN,20,10,0.0022
55,12.85,0.2,7,AA,20,25,0.005
500000,1.68,1,7,AN,20,50,0.2
90,49.46,2.88,6.7,A,30,25,0.0375
44000,1.52,50,7,A,20,20,0.00145
80,54.25,4,3,AA,20,80,0.0791
39,61.1,1,7,AA,25,100,0.0568
25,16.67,0.35,6.5,AA,25,40,0.0137
135000,0.83,1,8,AN,20,10,0.0023
25,14.51,0.35,6.5,AA,25,40,0.0115
80,54.25,4,5,AA,20,80,0.0511
4,16.16,0.35,7,AA,25,40,0.0016
13.7,55.6,0.7,2.5,AN,21,148,0.26
80,54.25,4,7,A,20,120,0.1095
100,8.1,0.35,7,A,20,50,0.037333333
30,62.2,0.05,8,AN,25,35,0.017
50,39.36,2,5,A,20,95,0.014
50,39.36,5,7,A,20,95,0.015
11.65,17.96,4,7,AN,20,20,0.0169
20,25.4,0.5,5,AN,20,20,0.0038
16.7,79.06,1.25,5,AN,30,100,0.107833333
16.7,17.6,0.5,3,AN,20,50,0.0469
80,54.25,1,7,AA,20,80,0.029
80,54.25,4,5,A,20,80,0.3137
39,61.1,1,7,AN,25,100,0.0541
100,8.1,0.2,7,A,20,50,0.037666667
74000,0.06,20,3.5,AA,21,50,0.0095
419000,2.3,1,8.5,AN,20,50,0.004166667
65,37.83,2,3,A,20,100,0.2461
11.65,17.96,4,10,AA,20,20,0.0026
50,39.36,2,5,A,20,70,0.029
50,12.4,1,6.7,AN,25,40,0.0515
11.65,17.96,8,7,AA,20,20,0.0304
